	bin	Depth CAPES_S11	Depth CAPES_S21	Depth CAPES_S7	GenomeBin	Domain	%Complete (domain)	%Complete and single-copy (domain)	%Complete and duplicated (domain)	%Fragmented (domain)	%Missing (domain)	Total number (domain)	Specific lineage dataset	%Complete (specific)	%Complete and single-copy (specific)	%Complete and duplicated (specific)	%Fragmented (specific)	%Missing (specific)	Total number (specific)	Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp	# predicted rRNA genes	user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
100	MEGAHIT-CAPES_S21.26.fa	0.0	12.7758	0.0	MEGAHIT-CAPES_S21.26.fa	bacteria_odb10	3.2	3.2	0.0	0.0	96.8	124.0								MEGAHIT-CAPES_S21.26.fa	41	41	15	6	0	0	228268	228268	145364	85680	0	0	41	22751	228268	43.44	6310	4473	10	21	0.0	0 + 0 part	MEGAHIT-CAPES_S21.26.fa																			
101	MEGAHIT-CAPES_S21.27.fa	3.96462	124.25	110.811	MEGAHIT-CAPES_S21.27.fa	bacteria_odb10	91.9	89.5	2.4	4.0	4.1	124.0	bacteroidales_odb10	88.0	87.8	0.2	0.0	12.0	541.0	MEGAHIT-CAPES_S21.27.fa	57	57	53	49	42	27	3739637	3739637	3726867	3696132	3574262	3013574	57	278801	3739637	43.67	102432	64204	12	24	0.0	1 + 0 part	MEGAHIT-CAPES_S21.27.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A	GCF_002849695.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A	98.38	0.93	GCF_002849695.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A	98.38	0.93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000025985.1, s__Bacteroides fragilis, 95.0, 87.05, 0.84; GCA_900765805.1, s__Bacteroides sp900765805, 95.0, 86.37, 0.37; GCA_902388495.1, s__Bacteroides sp902388495, 95.0, 79.29, 0.19; GCF_000613465.1, s__Bacteroides nordii, 95.0, 78.84, 0.27; GCA_900760255.1, s__Bacteroides sp900760255, 95.0, 78.78, 0.16; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 78.71, 0.27; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 78.69, 0.26; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 78.59, 0.26; GCF_903181435.1, s__Bacteroides acidifaciens_A, 95.0, 78.55, 0.23; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 78.55, 0.22; GCF_014334015.1, s__Bacteroides sp003463205, 95.0, 78.52, 0.26; GCA_014385165.1, s__Bacteroides sp014385165, 95.0, 78.49, 0.23; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 78.47, 0.23; GCF_902362375.1, s__Bacteroides sp902362375, 95.0, 78.46, 0.25; GCF_900106755.1, s__Bacteroides faecis, 95.0, 78.44, 0.26; GCF_012113595.1, s__Bacteroides sp012113595, 95.0, 78.42, 0.27; GCF_000613385.1, s__Bacteroides acidifaciens, 95.0, 78.4, 0.22; GCF_003865075.1, s__Bacteroides sp003865075, 95.0, 78.39, 0.21; GCF_002222615.2, s__Bacteroides caccae, 95.0, 78.38, 0.25; GCF_009193325.2, s__Bacteroides sp900066265, 95.8579, 78.35, 0.25; GCF_000156195.1, s__Bacteroides finegoldii, 95.8579, 78.34, 0.23; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 78.33, 0.22; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 78.33, 0.14; GCF_009193295.2, s__Bacteroides sp007097645, 95.0, 78.31, 0.24; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 78.25, 0.23; GCA_000210075.1, s__Bacteroides xylanisolvens, 95.0, 78.25, 0.26; GCA_900552405.1, s__Bacteroides sp900552405, 95.0, 78.2, 0.2; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 78.08, 0.21; GCF_902364365.1, s__Bacteroides sp900556215, 95.2143, 78.06, 0.2; GCA_900762525.1, s__Bacteroides sp900762525, 95.0, 78.05, 0.23; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 78.05, 0.21; GCF_000499785.1, s__Bacteroides neonati, 95.0, 78.04, 0.17; GCA_900766005.1, s__Bacteroides sp900766005, 95.0, 77.95, 0.18; GCF_000614165.1, s__Bacteroides stercorirosoris, 95.0, 77.92, 0.22; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 77.91, 0.18; GCF_900129655.1, s__Bacteroides clarus, 95.0, 77.88, 0.18; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 77.88, 0.2; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 77.87, 0.18; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 77.86, 0.21; GCA_900761785.1, s__Bacteroides sp900761785, 95.0, 77.82, 0.23; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 77.8, 0.21; GCF_000154205.1, s__Bacteroides uniformis, 95.0, 77.79, 0.17; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.2143, 77.79, 0.22; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 77.74, 0.1; GCA_900765785.1, s__Bacteroides sp900765785, 95.0, 77.72, 0.19; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 77.71, 0.17; GCF_900130135.1, s__Bacteroides togonis, 95.0, 77.71, 0.11; GCF_000614125.1, s__Bacteroides rodentium, 95.0, 77.7, 0.17; GCF_014196225.1, s__Bacteroides pyogenes_A, 95.0, 77.68, 0.15; GCF_900241005.1, s__Bacteroides cutis, 95.0, 77.67, 0.17; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 77.65, 0.17; GCF_000155815.1, s__Bacteroides eggerthii, 95.0, 77.64, 0.17; GCF_900108345.1, s__Bacteroides ndongoniae, 95.0, 77.64, 0.15; GCF_000154525.1, s__Bacteroides stercoris, 95.0, 77.63, 0.17; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.63, 0.15; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 77.58, 0.16; GCF_003438615.1, s__Bacteroides sp003545565, 95.0, 77.57, 0.19; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 77.49, 0.16; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 77.47, 0.12; GCF_900128475.1, s__Bacteroides massiliensis_A, 95.0, 77.44, 0.11; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 77.42, 0.13; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 77.42, 0.14; GCA_009929715.1, s__Bacteroides sp009929715, 95.0, 77.41, 0.11; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 77.29, 0.18; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 77.28, 0.12; GCF_000428125.1, s__Bacteroides graminisolvens, 95.0, 77.26, 0.11; GCA_900553815.1, s__Bacteroides sp900553815, 95.0, 77.12, 0.11; GCF_010500955.1, s__Bacteroides sp010500955, 95.0, 77.11, 0.09; GCF_900104585.1, s__Bacteroides ihuae, 95.0, 77.11, 0.11; GCF_010500965.1, s__Bacteroides sp010500965, 95.0, 77.08, 0.11; GCF_010500995.1, s__Bacteroides sp010500995, 95.0, 77.05, 0.09; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.89, 0.1; GCA_002307035.1, s__Bacteroides sp002307035, 95.0, 76.84, 0.12; GCF_007896885.1, s__Bacteroides sp007896885, 95.0, 76.75, 0.08; GCF_002160055.1, s__Bacteroides sp002160055, 95.0, 76.7, 0.08; GCF_010501015.1, s__Bacteroides sp010501015, 95.0, 76.65, 0.08; GCA_900766195.1, s__Bacteroides sp900766195, 95.0, 76.58, 0.09	91.3	11.0		
102	MEGAHIT-CAPES_S21.28.fa	21.53135	50.2273	0.18143900000000002	MEGAHIT-CAPES_S21.28.fa	bacteria_odb10	29.0	29.0	0.0	2.4	68.6	124.0								MEGAHIT-CAPES_S21.28.fa	36	36	32	30	18	12	1470279	1470279	1456642	1438095	1247431	1018376	36	192692	1470279	41.4	64887	39380	8	15	0.0	0 + 0 part	MEGAHIT-CAPES_S21.28.fa																			
103	MEGAHIT-CAPES_S21.29.fa	2.835	101.051	74.2668	MEGAHIT-CAPES_S21.29.fa	bacteria_odb10	2.4	2.4	0.0	0.0	97.6	124.0								MEGAHIT-CAPES_S21.29.fa	11	11	8	5	3	2	222616	222616	213541	189785	159678	120377	11	61226	222616	38.6	59151	15927	2	4	0.0	0 + 0 part	MEGAHIT-CAPES_S21.29.fa																			
104	MEGAHIT-CAPES_S21.3.fa	92.13715	347.01800000000014	0.396458	MEGAHIT-CAPES_S21.3.fa	bacteria_odb10	3.2	3.2	0.0	0.0	96.8	124.0								MEGAHIT-CAPES_S21.3.fa	4	4	3	3	2	2	205869	205869	202919	202919	191249	191249	4	123948	205869	42.67	123948	67301	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S21.3.fa																			
105	MEGAHIT-CAPES_S21.30.fa	12.4062	53.4362	0.162148	MEGAHIT-CAPES_S21.30.fa	bacteria_odb10	8.1	7.3	0.8	0.8	91.1	124.0								MEGAHIT-CAPES_S21.30.fa	7	7	7	7	6	5	598431	598431	598431	598431	587319	546122	7	136710	598431	40.92	109806	94527	3	4	0.0	0 + 0 part	MEGAHIT-CAPES_S21.30.fa																			
106	MEGAHIT-CAPES_S21.31.fa	25.8177	95.0106	47.1207	MEGAHIT-CAPES_S21.31.fa	bacteria_odb10	8.9	8.9	0.0	2.4	88.7	124.0								MEGAHIT-CAPES_S21.31.fa	8	8	8	8	7	6	702976	702976	702976	702976	679007	637960	8	137649	702976	46.54	122540	86476	3	5	0.0	0 + 0 part	MEGAHIT-CAPES_S21.31.fa																			
107	MEGAHIT-CAPES_S21.32.fa	0.0	6.5068199999999985	174.82	MEGAHIT-CAPES_S21.32.fa	bacteria_odb10	8.1	8.1	0.0	4.8	87.1	124.0								MEGAHIT-CAPES_S21.32.fa	272	272	1	0	0	0	583607	583607	5554	0	0	0	272	5554	583607	58.55	2060	1797	108	184	0.0	0 + 0 part	MEGAHIT-CAPES_S21.32.fa																			
108	MEGAHIT-CAPES_S21.33.fa	7.244910000000001	64.532	0.043288199999999985	MEGAHIT-CAPES_S21.33.fa	bacteria_odb10	0.8	0.8	0.0	1.6	97.6	124.0								MEGAHIT-CAPES_S21.33.fa	5	5	5	4	4	2	273178	273178	273178	267674	267674	206955	5	146031	273178	45.94	146031	60924	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S21.33.fa																			
109	MEGAHIT-CAPES_S21.34.fa	28.6282	88.4162	57.0666	MEGAHIT-CAPES_S21.34.fa	bacteria_odb10	13.7	12.9	0.8	0.0	86.3	124.0								MEGAHIT-CAPES_S21.34.fa	7	7	7	7	7	6	764456	764456	764456	764456	764456	722911	7	184761	764456	47.45	122238	100372	3	4	0.0	0 + 0 part	MEGAHIT-CAPES_S21.34.fa																			
110	MEGAHIT-CAPES_S21.35.fa	0.0	16.53145	0.0	MEGAHIT-CAPES_S21.35.fa	bacteria_odb10	64.5	64.5	0.0	2.4	33.1	124.0	lactobacillales_odb10	61.1	60.4	0.7	2.0	36.9	402.0	MEGAHIT-CAPES_S21.35.fa	170	170	82	42	3	0	1166802	1166802	895596	612447	91217	0	170	34557	1166802	37.86	10253	5227	40	79	0.0	0 + 0 part	MEGAHIT-CAPES_S21.35.fa	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	GCF_002088015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.21	0.89	GCF_002088015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus	98.21	0.89	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614735.1, s__Lactobacillus gallinarum, 95.0, 83.33, 0.66; GCF_000615285.1, s__Lactobacillus kitasatonis, 95.0, 83.11, 0.67; GCF_002706375.1, s__Lactobacillus amylovorus, 95.0, 82.97, 0.68; GCF_001436305.1, s__Lactobacillus ultunensis, 95.0, 82.69, 0.66; GCF_000160855.1, s__Lactobacillus helveticus, 95.0, 82.67, 0.63; GCF_001591845.1, s__Lactobacillus acidophilus, 95.0, 82.18, 0.66; GCF_900103655.1, s__Lactobacillus kefiranofaciens, 95.0, 81.79, 0.64; GCF_000178475.1, s__Lactobacillus amylolyticus, 95.0, 81.18, 0.39; GCF_000297025.1, s__Lactobacillus pasteurii, 95.0, 80.67, 0.33; GCF_002911475.1, s__Lactobacillus sp002911475, 95.0, 80.63, 0.43; GCF_001434335.1, s__Lactobacillus kalixensis, 95.0, 80.49, 0.45; GCF_000615445.1, s__Lactobacillus hamsteri, 95.0, 80.48, 0.46; GCF_001435325.1, s__Lactobacillus intestinalis, 95.0, 80.43, 0.44; GCF_007570935.1, s__Lactobacillus sp007570935, 95.0, 80.06, 0.39; GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 79.66, 0.26; GCF_000296855.1, s__Lactobacillus gigeriorum, 95.0, 79.65, 0.31; GCF_000159355.1, s__Lactobacillus johnsonii, 95.0, 79.51, 0.27; GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 79.5, 0.28; GCF_003584685.1, s__Lactobacillus paragasseri, 95.0, 79.4, 0.27; GCF_000296835.1, s__Lactobacillus hominis, 95.0, 79.19, 0.31; GCF_002837055.1, s__Lactobacillus apis, 95.0, 78.94, 0.24; GCA_001311765.1, s__Lactobacillus equicursoris, 95.0, 78.93, 0.11; GCF_002916935.1, s__Lactobacillus panisapium, 95.0, 78.92, 0.25; GCF_000425905.1, s__Lactobacillus psittaci, 95.0, 78.86, 0.27; GCF_001436775.1, s__Lactobacillus acetotolerans, 95.0, 78.84, 0.33; GCF_003423665.1, s__Lactobacillus rodentium, 95.0, 78.79, 0.21; GCF_007095465.1, s__Lactobacillus mulieris, 95.0, 78.54, 0.24; GCF_009695985.1, s__Lactobacillus porci, 95.0, 78.46, 0.1; GCF_001436455.1, s__Lactobacillus jensenii, 95.0, 78.4, 0.27; GCF_000970855.1, s__Lactobacillus helsingborgensis, 95.0, 78.35, 0.22; GCF_000760615.1, s__Lactobacillus sp000760615, 95.0, 78.31, 0.2; GCF_001433875.1, s__Lactobacillus delbrueckii, 95.0, 78.24, 0.1; GCF_014323605.1, s__Lactobacillus kimbladii_B, 95.0, 78.16, 0.19; GCF_000967195.1, s__Lactobacillus kullabergensis, 95.0, 78.09, 0.23; GCF_003692965.1, s__Lactobacillus sp003692965, 95.0, 78.05, 0.2; GCA_002418055.1, s__Lactobacillus sp002418055, 95.0, 77.97, 0.14; GCF_013346935.1, s__Lactobacillus melliventris, 95.0, 77.89, 0.24; GCF_000160875.1, s__Lactobacillus iners, 95.0, 77.71, 0.13; GCF_900112665.1, s__Lactobacillus bombicola, 95.0, 77.7, 0.2; GCF_000970755.1, s__Lactobacillus kimbladii_A, 95.0, 77.48, 0.25; GCA_004556255.1, s__Lactobacillus delbrueckii_B, 95.0, 77.28, 0.06; GCA_002417825.1, s__Lactobacillus sp002417825, 95.0, 76.39, 0.06	61.07	11.0		
111	MEGAHIT-CAPES_S21.36.fa	3.94656	131.64	74.42330000000003	MEGAHIT-CAPES_S21.36.fa	Viruses							tevenvirinae_odb10	7.4	7.4	0.0	0.0	92.6	27.0	MEGAHIT-CAPES_S21.36.fa	8	8	8	8	6	4	428166	428166	428166	428166	385235	317587	8	106219	428166	43.21	73729	35151	3	5	0.0	0 + 0 part	MEGAHIT-CAPES_S21.36.fa																			
112	MEGAHIT-CAPES_S21.37.fa	19.4758	19.8552	0.032111400000000005	MEGAHIT-CAPES_S21.37.fa	bacteria_odb10	4.8	4.8	0.0	0.0	95.2	124.0								MEGAHIT-CAPES_S21.37.fa	11	11	9	6	5	0	233672	233672	227464	206504	187213	0	11	42632	233672	45.57	36430	31682	3	5	0.0	0 + 0 part	MEGAHIT-CAPES_S21.37.fa																			
113	MEGAHIT-CAPES_S21.38.fa	0.1623985	41.67145	0.007289125	MEGAHIT-CAPES_S21.38.fa	bacteria_odb10	97.6	95.2	2.4	1.6	0.8	124.0	clostridiales_odb10	99.6	98.5	1.1	0.0	0.4	264.0	MEGAHIT-CAPES_S21.38.fa	82	82	74	68	42	19	2568761	2568761	2545802	2503085	2076362	1309415	82	129763	2568761	42.11	50640	26735	19	37	0.0	0 + 0 part	MEGAHIT-CAPES_S21.38.fa	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	GCF_000020605.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.74	0.91	GCF_000020605.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.74	0.91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900546625.1, s__Agathobacter sp900546625, 95.0, 94.7, 0.83; GCA_900317585.1, s__Agathobacter sp900317585, 95.0, 94.64, 0.73; GCA_900547695.1, s__Agathobacter sp900547695, 95.0, 82.4, 0.38; GCF_902363675.1, s__Agathobacter sp000434275, 95.0, 80.47, 0.21; GCF_001406815.1, s__Agathobacter faecis, 95.0, 79.69, 0.2; GCA_900550545.1, s__Agathobacter sp900550545, 95.0, 79.22, 0.17; GCA_900550845.1, s__Agathobacter sp900550845, 95.0, 79.12, 0.29; GCA_900549895.1, s__Agathobacter sp900549895, 95.0, 78.92, 0.14; GCA_900557055.1, s__Agathobacter sp900557055, 95.0, 78.88, 0.11; GCA_900548765.1, s__Agathobacter sp900548765, 95.0, 78.86, 0.25; GCA_900552085.1, s__Agathobacter sp900552085, 95.0, 78.46, 0.17; GCA_900543445.1, s__Agathobacter sp900543445, 95.0, 78.33, 0.16; GCF_002735305.1, s__Agathobacter ruminis, 95.0, 78.32, 0.1; GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 78.32, 0.16; GCA_900316805.1, s__Agathobacter sp900316805, 95.0, 77.21, 0.13	89.74	11.0		
114	MEGAHIT-CAPES_S21.4.fa	29.8891	88.1138	61.0064	MEGAHIT-CAPES_S21.4.fa	bacteria_odb10	21.0	20.2	0.8	2.4	76.6	124.0								MEGAHIT-CAPES_S21.4.fa	14	14	14	12	8	6	799995	799995	799995	786357	735108	677056	14	188663	799995	46.67	102038	72459	3	5	0.0	0 + 0 part	MEGAHIT-CAPES_S21.4.fa																			
115	MEGAHIT-CAPES_S21.5.fa	16.3372	53.2553	0.147529	MEGAHIT-CAPES_S21.5.fa	bacteria_odb10	8.1	8.1	0.0	0.8	91.1	124.0								MEGAHIT-CAPES_S21.5.fa	11	11	11	11	5	3	506394	506394	506394	506394	415156	357002	11	239374	506394	42.61	66350	32917	2	4	0.0	0 + 0 part	MEGAHIT-CAPES_S21.5.fa																			
116	MEGAHIT-CAPES_S21.6.fa	15.7469	80.93315000000003	27.72435	MEGAHIT-CAPES_S21.6.fa	bacteria_odb10	4.0	4.0	0.0	0.8	95.2	124.0								MEGAHIT-CAPES_S21.6.fa	4	4	4	4	3	2	281900	281900	281900	281900	267798	241574	4	188925	281900	42.93	188925	52649	1	2	0.0	0 + 0 part	MEGAHIT-CAPES_S21.6.fa																			
